"","Freq","cmap_name","pert_idose","pert_itime","cell_iname","cmap1","cmap2","ZangS","XsumS"
"28",2,"bosutinib","10uM","24h","MNEU","94 (-0.67)",NA,"45 (-0.13)",NA
"29",2,"BRD-A19037878","10uM","24h","NPC","67 (-0.71)",NA,"42 (-0.13)",NA
"30",2,"BRD-K06800040","10uM","24h","NPC",NA,"16 (-1.33)",NA,"12 (-30.88)"
"31",2,"BRD-K09991945","3.33uM","24h","MNEU","17 (-0.83)",NA,"21 (-0.16)",NA
"32",2,"BRD-K32598858","10uM","24h","NPC","63 (-0.71)",NA,NA,"14 (-29.25)"
"33",2,"BRD-K78559095","10uM","24h","NEU","64 (-0.71)",NA,NA,"8 (-39.44)"
"34",2,"BS-181","0.37uM","24h","MNEU","3 (-0.92)",NA,"8 (-0.18)",NA
"35",2,"cabozantinib","3.33uM","24h","MNEU","2 (-0.92)",NA,"6 (-0.18)",NA
"36",2,"CGS-20625","10uM","24h","NPC",NA,"8 (-1.37)",NA,"16 (-19.99)"
"37",2,"dacomitinib","0.04uM","24h","MNEU","21 (-0.81)",NA,"34 (-0.15)",NA
"38",2,"dacomitinib","0.37uM","24h","MNEU","14 (-0.86)",NA,"13 (-0.16)",NA
"39",2,"dasatinib","0.12uM","24h","MNEU","97 (-0.66)",NA,"41 (-0.14)",NA
"40",2,"FR-180204","0.37uM","24h","MNEU","23 (-0.81)",NA,"29 (-0.15)",NA
"41",2,"GNF-2","0.12uM","24h","NEU","25 (-0.79)",NA,"30 (-0.15)",NA
"42",2,"I-BET-151","1.11uM","24h","NPC","46 (-0.74)",NA,"22 (-0.16)",NA
"43",2,"I-BET-762","0.04uM","24h","NPC","24 (-0.8)",NA,"23 (-0.15)",NA
"44",2,"I-BET-762","0.37uM","24h","NPC","96 (-0.66)",NA,"40 (-0.14)",NA
"45",2,"ibrutinib","3.33uM","24h","MNEU","30 (-0.78)",NA,"10 (-0.17)",NA
"46",2,"iloprost","10uM","24h","NPC","41 (-0.75)",NA,"44 (-0.13)",NA
"47",2,"JQ-1-R","10uM","24h","NPC","38 (-0.75)",NA,"28 (-0.15)",NA
"48",2,"motesanib","0.04uM","24h","MNEU","43 (-0.74)",NA,"18 (-0.16)",NA
"49",2,"PF-573228","1.11uM","24h","NEU","92 (-0.67)","25 (-1.22)",NA,NA
"50",2,"PHA-767491","0.04uM","24h","MNEU",NA,"26 (-1.22)",NA,"20 (-15.43)"
"51",2,"SAR-245409","0.12uM","24h","MNEU","13 (-0.86)",NA,"31 (-0.15)",NA
"52",2,"SB-939","3.33uM","24h","NPC","33 (-0.77)","17 (-1.33)",NA,NA
"53",2,"SGI-1776","0.12uM","24h","MNEU","53 (-0.72)",NA,"37 (-0.14)",NA
"54",2,"SGI-1776","0.37uM","24h","MNEU","34 (-0.77)",NA,"19 (-0.16)",NA
"55",2,"sunitinib","0.37uM","24h","MNEU","11 (-0.87)",NA,"14 (-0.16)",NA
"56",2,"WZ-7043","0.04uM","24h","MNEU","74 (-0.69)",NA,"32 (-0.15)",NA
"57",2,"XMD-885","0.12uM","24h","MNEU","19 (-0.82)",NA,"35 (-0.14)",NA
