"","Freq","cmap_name","pert_idose","pert_itime","cell_iname","cmap1","cmap2","ZangS","XsumS"
"119",2,"FR-180204","10uM","24h","NPC","149 (-0.61)",NA,"177 (-0.11)",NA
"120",2,"GDC-0879","0.12uM","24h","NEU","237 (-0.56)",NA,"169 (-0.12)",NA
"121",2,"GDC-0879","0.37uM","24h","NEU","154 (-0.61)",NA,NA,"24 (-33.21)"
"122",2,"GNF-2","0.12uM","24h","NEU","36 (-0.75)",NA,"37 (-0.17)",NA
"123",2,"GNF-2","3.33uM","24h","NEU","143 (-0.62)",NA,"167 (-0.12)",NA
"124",2,"GSK-2334470","0.04uM","24h","NEU","99 (-0.66)",NA,"163 (-0.12)",NA
"125",2,"GSK-2334470","10uM","24h","NEU","66 (-0.69)",NA,"87 (-0.14)",NA
"126",2,"HG-9-91-01","1.11uM","24h","MNEU","32 (-0.77)",NA,"45 (-0.17)",NA
"127",2,"I-212148","10uM","24h","NEU","39 (-0.75)",NA,"82 (-0.14)",NA
"128",2,"I-BET-151","3.33uM","24h","NPC",NA,"30 (-1.31)",NA,"56 (-24.06)"
"129",2,"I-BET-762","0.04uM","24h","NPC","127 (-0.63)",NA,"114 (-0.13)",NA
"130",2,"I-BET-762","3.33uM","24h","NPC",NA,"16 (-1.37)",NA,"57 (-23.86)"
"131",2,"ibrutinib","0.04uM","24h","MNEU","89 (-0.67)",NA,"125 (-0.13)",NA
"132",2,"ibrutinib","0.37uM","24h","MNEU","12 (-0.85)",NA,"18 (-0.19)",NA
"133",2,"ibrutinib","1.11uM","24h","MNEU","63 (-0.7)",NA,"84 (-0.14)",NA
"134",2,"ibrutinib","3.33uM","24h","MNEU","49 (-0.72)",NA,"47 (-0.17)",NA
"135",2,"IOX2","0.37uM","24h","NPC","170 (-0.6)",NA,"131 (-0.13)",NA
"136",2,"KIN001-242","0.12uM","24h","NEU","116 (-0.64)",NA,"166 (-0.12)",NA
"137",2,"KIN001-242","1.11uM","24h","NEU","75 (-0.68)",NA,"90 (-0.14)",NA
"138",2,"KIN001-244","3.33uM","24h","MNEU","104 (-0.65)",NA,"149 (-0.13)",NA
"139",2,"KIN001-260","0.37uM","24h","NEU","96 (-0.66)",NA,"91 (-0.14)",NA
"140",2,"KIN001-260","1.11uM","24h","NEU","85 (-0.67)",NA,"83 (-0.14)",NA
"141",2,"KIN001-269","0.12uM","24h","NEU","161 (-0.6)",NA,"81 (-0.14)",NA
"142",2,"KIN001-269","3.33uM","24h","NEU","52 (-0.72)",NA,"100 (-0.14)",NA
"143",2,"KIN001-270","1.11uM","24h","MNEU","98 (-0.66)",NA,"73 (-0.15)",NA
"144",2,"KIN001-270","3.33uM","24h","MNEU","74 (-0.68)",NA,"67 (-0.15)",NA
"145",2,"KIN001-270","3.33uM","24h","NPC","146 (-0.61)",NA,"171 (-0.12)",NA
"146",2,"masitinib","1.11uM","24h","MNEU","82 (-0.67)",NA,"86 (-0.14)",NA
"147",2,"MGCD-265","3.33uM","24h","NEU","181 (-0.59)",NA,"144 (-0.13)",NA
"148",2,"motesanib","0.04uM","24h","MNEU","67 (-0.69)",NA,"80 (-0.15)",NA
"149",2,"NPK76-II-72-1","10uM","24h","NEU","148 (-0.61)",NA,"94 (-0.14)",NA
"150",2,"NTNCB","10uM","24h","NEU","121 (-0.64)",NA,"130 (-0.13)",NA
"151",2,"OSI-930","0.37uM","24h","MNEU","64 (-0.7)",NA,"118 (-0.13)",NA
"152",2,"OSI-930","10uM","24h","MNEU","95 (-0.66)",NA,"120 (-0.13)",NA
"153",2,"pazopanib","0.12uM","24h","MNEU","51 (-0.72)",NA,"28 (-0.18)",NA
"154",2,"pazopanib","0.37uM","24h","MNEU","44 (-0.73)",NA,"25 (-0.18)",NA
"155",2,"PD-0325901","0.04uM","24h","MNEU","218 (-0.57)",NA,"186 (-0.1)",NA
"156",2,"PD-0325901","0.12uM","24h","MNEU","195 (-0.58)",NA,"113 (-0.13)",NA
"157",2,"PF-03758309","0.04uM","24h","NEU","176 (-0.59)",NA,"141 (-0.13)",NA
"158",2,"PF-03758309","0.12uM","24h","NEU","109 (-0.65)",NA,"69 (-0.15)",NA
"159",2,"propylpyrazole","10uM","24h","NEU","141 (-0.62)",NA,"105 (-0.14)",NA
"160",2,"QL-XI-92","3.33uM","24h","NEU","53 (-0.72)",NA,"128 (-0.13)",NA
"161",2,"RAF-265","1.11uM","24h","NEU","135 (-0.63)",NA,"170 (-0.12)",NA
"162",2,"RAF-265","3.33uM","24h","NEU","110 (-0.65)",NA,"79 (-0.15)",NA
"163",2,"SAR-245409","0.12uM","24h","MNEU","73 (-0.69)",NA,"158 (-0.12)",NA
"164",2,"SAR-245409","0.37uM","24h","MNEU","60 (-0.7)",NA,"145 (-0.13)",NA
"165",2,"SB-216763","10uM","24h","MNEU","252 (-0.55)",NA,"175 (-0.11)",NA
"166",2,"SB-216763","3.33uM","24h","MNEU","93 (-0.67)",NA,"123 (-0.13)",NA
"167",2,"SB-239063","0.04uM","24h","NEU","86 (-0.67)",NA,"77 (-0.15)",NA
"168",2,"SB-525334","10uM","24h","NPC","103 (-0.66)",NA,"124 (-0.13)",NA
"169",2,"SCH-58261","10uM","24h","NPC","152 (-0.61)",NA,"99 (-0.14)",NA
"170",2,"serdemetan","0.12uM","24h","NEU","88 (-0.67)",NA,"147 (-0.13)",NA
"171",2,"SGI-1776","0.04uM","24h","MNEU","40 (-0.75)",NA,"44 (-0.17)",NA
"172",2,"SGI-1776","0.12uM","24h","MNEU","46 (-0.73)",NA,"85 (-0.14)",NA
"173",2,"SGX-523","10uM","24h","NEU","162 (-0.6)",NA,"134 (-0.13)",NA
"174",2,"SJB-AF-2","10uM","24h","NEU","202 (-0.57)",NA,"164 (-0.12)",NA
"175",2,"sunitinib","0.37uM","24h","MNEU","16 (-0.84)",NA,"24 (-0.18)",NA
"176",2,"teicoplanin","10uM","24h","NPC",NA,"20 (-1.34)",NA,"61 (-22.39)"
"177",2,"tivantinib","0.12uM","24h","MNEU","184 (-0.59)",NA,"160 (-0.12)",NA
"178",2,"UNC-1215","10uM","24h","NPC","305 (-0.52)",NA,"183 (-0.11)",NA
"179",2,"VU-0410183-2","10uM","24h","NEU","198 (-0.58)",NA,"155 (-0.12)",NA
"180",2,"VX-745","0.37uM","24h","NEU","302 (-0.52)",NA,"151 (-0.12)",NA
"181",2,"VX-745","1.11uM","24h","NEU","165 (-0.6)",NA,"152 (-0.12)",NA
"182",2,"WZ-7043","0.04uM","24h","MNEU","188 (-0.58)",NA,"98 (-0.14)",NA
"183",2,"WZ-7043","0.12uM","24h","MNEU","65 (-0.69)",NA,"61 (-0.16)",NA
"184",2,"WZ-7043","0.37uM","24h","MNEU","59 (-0.71)",NA,"72 (-0.15)",NA
"185",2,"XMD-892","0.37uM","24h","NPC","266 (-0.54)",NA,"119 (-0.13)",NA
"186",2,"XMD-892","3.33uM","24h","NPC","290 (-0.53)",NA,NA,"82 (-11.65)"
"187",2,"ZM-447439","0.37uM","24h","NEU","20 (-0.82)",NA,"68 (-0.15)",NA
