name_profile,drug,dose,time,nsamples_trt,nsamples_ctl,sample_size,n_batch,ss_genes,UP,DOWN,cell_iname
vorinostat_3.33uM_24h,vorinostat,3.33 uM,24 h,15,340,355,5,466,211,255,NPC
tretinoin_3.33uM_24h,tretinoin,3.33 uM,24 h,15,347,362,5,129,77,52,NPC
isradipine_3.33uM_24h,isradipine,3.33 uM,24 h,15,347,362,5,100,44,56,NPC
pramipexole_3.33uM_24h,pramipexole,3.33 uM,24 h,15,347,362,5,3,3,0,NPC
fluoxetine_3.33uM_24h,fluoxetine,3.33 uM,24 h,15,347,362,5,6,3,3,NPC
ziprasidone_3.33uM_24h,ziprasidone,3.33 uM,24 h,15,347,362,5,26,13,13,NPC
aripiprazole_3.33uM_24h,aripiprazole,3.33 uM,24 h,15,347,362,5,9,4,5,NPC
quetiapine_3.33uM_24h,quetiapine,3.33 uM,24 h,15,347,362,5,25,11,14,NPC
topiramate_3.33uM_24h,topiramate,3.33 uM,24 h,15,347,362,5,4,4,0,NPC
amitriptyline_3.33uM_24h,amitriptyline,3.33 uM,24 h,15,347,362,5,29,14,15,NPC
lamotrigine_3.33uM_24h,lamotrigine,3.33 uM,24 h,15,347,362,5,4,2,2,NPC
topotecan_3.33uM_24h,topotecan,3.33 uM,24 h,15,347,362,5,787,388,399,NPC
doconexent_3.33uM_24h,doconexent,3.33 uM,24 h,15,347,362,5,246,112,134,NPC
clozapine_3.33uM_24h,clozapine,3.33 uM,24 h,15,347,362,5,3,1,2,NPC
olanzapine_3.33uM_24h,olanzapine,3.33 uM,24 h,15,347,362,5,1,1,0,NPC
simvastatin_3.33uM_24h,simvastatin,3.33 uM,24 h,15,347,362,5,241,105,136,NPC
verapamil_3.33uM_24h,verapamil,3.33 uM,24 h,15,347,362,5,5,4,1,NPC
duloxetine_3.33uM_24h,duloxetine,3.33 uM,24 h,15,347,362,5,61,40,21,NPC
varenicline_3.33uM_24h,varenicline,3.33 uM,24 h,15,347,362,5,0,0,0,NPC
lurasidone_3.33uM_24h,lurasidone,3.33 uM,24 h,15,347,362,5,26,3,23,NPC
risperidone_3.33uM_24h,risperidone,3.33 uM,24 h,15,347,362,5,0,0,0,NPC
fluvastatin_3.33uM_24h,fluvastatin,3.33 uM,24 h,15,347,362,5,288,116,172,NPC
tianeptine_60uM_24h,tianeptine,60 uM,24 h,14,323,337,5,37,24,13,NPC
oxiracetam_60uM_24h,oxiracetam,60 uM,24 h,14,321,335,5,4,3,1,NPC
niclosamide_10uM_24h,niclosamide,10 uM,24 h,14,62,76,3,520,178,342,NPC
quinidine_10uM_24h,quinidine,10 uM,24 h,14,99,113,4,3,1,2,NPC
nemonapride_10uM_24h,nemonapride,10 uM,24 h,14,61,75,3,6,2,4,NPC
flunarizine_3.33uM_24h,flunarizine,3.33 uM,24 h,14,326,340,5,4,2,2,NPC
agomelatine_3.33uM_24h,agomelatine,3.33 uM,24 h,14,323,337,5,2,2,0,NPC
citalopram_3.33uM_24h,citalopram,3.33 uM,24 h,14,323,337,5,0,0,0,NPC
haloperidol_3.33uM_24h,haloperidol,3.33 uM,24 h,14,322,336,5,4,4,0,NPC
bosutinib_10uM_24h,bosutinib,10 uM,24 h,13,197,210,5,654,269,385,NPC
mifepristone_10uM_24h,mifepristone,10 uM,24 h,13,82,95,4,201,67,134,NPC
pravastatin_10uM_24h,pravastatin,10 uM,24 h,13,91,104,4,13,11,2,NPC
vorinostat_0.37uM_24h,vorinostat,0.37 uM,24 h,13,284,297,5,77,39,38,NPC
sertraline_3.33uM_24h,sertraline,3.33 uM,24 h,13,299,312,5,52,37,15,NPC
doconexent_10uM_6h,doconexent,10 uM,6 h,12,30,42,2,366,103,263,NPC
tamoxifen_10uM_6h,tamoxifen,10 uM,6 h,12,30,42,2,289,98,191,NPC
imatinib_10uM_6h,imatinib,10 uM,6 h,12,30,42,2,138,51,87,NPC
sorafenib_10uM_24h,sorafenib,10 uM,24 h,12,71,83,3,334,148,186,NPC
tretinoin_10uM_6h,tretinoin,10 uM,6 h,12,30,42,2,41,14,27,NPC
danazol_10uM_24h,danazol,10 uM,24 h,12,45,57,2,315,128,187,NPC
scopolamine_10uM_24h,scopolamine,10 uM,24 h,12,70,82,3,0,0,0,NPC
belinostat_10uM_24h,belinostat,10 uM,24 h,12,266,278,4,656,327,329,NPC
forskolin_10uM_6h,forskolin,10 uM,6 h,12,30,42,2,145,35,110,NPC
curcumin_10uM_6h,curcumin,10 uM,6 h,12,30,42,2,248,68,180,NPC
retinol_10uM_6h,retinol,10 uM,6 h,12,30,42,2,89,30,59,NPC
sulindac_10uM_24h,sulindac,10 uM,24 h,12,54,66,2,0,0,0,NPC
pregnenolone_10uM_6h,pregnenolone,10 uM,6 h,12,30,42,2,4,1,3,NPC
sulindac_10uM_6h,sulindac,10 uM,6 h,12,30,42,2,0,0,0,NPC
niclosamide_10uM_6h,niclosamide,10 uM,6 h,12,30,42,2,192,69,123,NPC
curcumin_10uM_24h,curcumin,10 uM,24 h,11,54,65,2,90,31,59,NPC
diltiazem_10uM_24h,diltiazem,10 uM,24 h,11,58,69,3,4,2,2,NPC
tranylcypromine_10uM_6h,tranylcypromine,10 uM,6 h,11,69,80,4,0,0,0,NPC
ranitidine_10uM_24h,ranitidine,10 uM,24 h,11,33,44,2,1,0,1,NPC
doxepin_10uM_24h,doxepin,10 uM,24 h,11,33,44,2,21,7,14,NPC
resveratrol_0.04uM_24h,resveratrol,0.04 uM,24 h,11,289,300,4,12,5,7,NPC
resveratrol_0.37uM_24h,resveratrol,0.37 uM,24 h,11,289,300,4,5,4,1,NPC
resveratrol_1.11uM_24h,resveratrol,1.11 uM,24 h,11,289,300,4,10,6,4,NPC
resveratrol_3.33uM_24h,resveratrol,3.33 uM,24 h,11,289,300,4,5,3,2,NPC
fulvestrant_10uM_24h,fulvestrant,10 uM,24 h,10,116,126,3,9,3,6,NPC
diclofenac_10uM_24h,diclofenac,10 uM,24 h,10,79,89,3,4,0,4,NPC
nemonapride_10uM_6h,nemonapride,10 uM,6 h,10,39,49,2,0,0,0,NPC
progesterone_10uM_24h,progesterone,10 uM,24 h,10,74,84,3,253,97,156,NPC
nimodipine_10uM_24h,nimodipine,10 uM,24 h,10,79,89,3,0,0,0,NPC
bezafibrate_10uM_24h,bezafibrate,10 uM,24 h,10,79,89,3,1,1,0,NPC
pioglitazone_10uM_24h,pioglitazone,10 uM,24 h,10,79,89,3,28,5,23,NPC
zonisamide_10uM_6h,zonisamide,10 uM,6 h,10,39,49,2,0,0,0,NPC
riluzole_10uM_6h,riluzole,10 uM,6 h,10,60,70,4,18,2,16,NPC
celecoxib_10uM_24h,celecoxib,10 uM,24 h,10,79,89,3,206,57,149,NPC
carbamazepine_10uM_24h,carbamazepine,10 uM,24 h,10,79,89,3,170,35,135,NPC
caffeine_10uM_24h,caffeine,10 uM,24 h,10,79,89,3,2,1,1,NPC
everolimus_10uM_24h,everolimus,10 uM,24 h,10,168,178,4,218,59,159,NPC
zonisamide_10uM_24h,zonisamide,10 uM,24 h,10,41,51,2,57,16,41,NPC
estrone_10uM_24h,estrone,10 uM,24 h,10,79,89,3,63,15,48,NPC
pazopanib_10uM_24h,pazopanib,10 uM,24 h,10,168,178,4,327,137,190,NPC
masitinib_10uM_24h,masitinib,10 uM,24 h,10,168,178,4,575,240,335,NPC
isotretinoin_10uM_24h,isotretinoin,10 uM,24 h,9,71,80,3,23,11,12,NPC
chloroquine_10uM_24h,chloroquine,10 uM,24 h,9,62,71,3,4,1,3,NPC
simvastatin_10uM_24h,simvastatin,10 uM,24 h,9,66,75,3,36,21,15,NPC
rilmenidine_10uM_24h,rilmenidine,10 uM,24 h,9,62,71,3,2,0,2,NPC
azacitidine_10uM_24h,azacitidine,10 uM,24 h,9,249,258,3,414,199,215,NPC
tolazamide_10uM_24h,tolazamide,10 uM,24 h,9,62,71,3,0,0,0,NPC
spiperone_10uM_24h,spiperone,10 uM,24 h,9,61,70,3,213,94,119,NPC
reboxetine_10uM_24h,reboxetine,10 uM,24 h,9,66,75,3,12,7,5,NPC
verapamil_10uM_24h,verapamil,10 uM,24 h,9,62,71,3,2,0,2,NPC
acitretin_10uM_24h,acitretin,10 uM,24 h,9,71,80,3,44,12,32,NPC
calcitriol_10uM_24h,calcitriol,10 uM,24 h,9,71,80,3,136,33,103,NPC
alectinib_10uM_24h,alectinib,10 uM,24 h,9,192,201,3,68,33,35,NPC
calcifediol_10uM_24h,calcifediol,10 uM,24 h,9,71,80,3,245,88,157,NPC
regorafenib_10uM_24h,regorafenib,10 uM,24 h,9,192,201,3,355,166,189,NPC
loperamide_10uM_24h,loperamide,10 uM,24 h,9,62,71,3,35,14,21,NPC
pimozide_10uM_24h,pimozide,10 uM,24 h,9,62,71,3,276,123,153,NPC
nitrendipine_10uM_24h,nitrendipine,10 uM,24 h,9,62,71,3,0,0,0,NPC
clofibric-acid_10uM_24h,clofibric-acid,10 uM,24 h,9,67,76,3,0,0,0,NPC
fluvastatin_10uM_24h,fluvastatin,10 uM,24 h,9,66,75,3,70,25,45,NPC
fluspirilene_10uM_24h,fluspirilene,10 uM,24 h,9,62,71,3,191,73,118,NPC
dexamethasone_10uM_6h,dexamethasone,10 uM,6 h,9,32,41,3,39,6,33,NPC
cholic-acid_10uM_24h,cholic-acid,10 uM,24 h,9,71,80,3,0,0,0,NPC
clozapine_10uM_24h,clozapine,10 uM,24 h,9,66,75,3,250,82,168,NPC
thalidomide_10uM_24h,thalidomide,10 uM,24 h,9,62,71,3,0,0,0,NPC
lovastatin_10uM_24h,lovastatin,10 uM,24 h,9,66,75,3,27,17,10,NPC
dabrafenib_10uM_24h,dabrafenib,10 uM,24 h,9,192,201,3,83,53,30,NPC
minoxidil_10uM_24h,minoxidil,10 uM,24 h,9,62,71,3,4,3,1,NPC
risperidone_10uM_24h,risperidone,10 uM,24 h,9,66,75,3,1,0,1,NPC
azacitidine_0.04uM_24h,azacitidine,0.04 uM,24 h,9,249,258,3,72,55,17,NPC
decitabine_0.04uM_24h,decitabine,0.04 uM,24 h,9,249,258,3,26,17,9,NPC
belinostat_0.04uM_24h,belinostat,0.04 uM,24 h,9,249,258,3,265,118,147,NPC
regorafenib_0.04uM_24h,regorafenib,0.04 uM,24 h,9,192,201,3,2,1,1,NPC
tranylcypromine_0.04uM_24h,tranylcypromine,0.04 uM,24 h,9,249,258,3,2,0,2,NPC
dabrafenib_0.04uM_24h,dabrafenib,0.04 uM,24 h,9,192,201,3,19,17,2,NPC
alectinib_0.04uM_24h,alectinib,0.04 uM,24 h,9,192,201,3,98,53,45,NPC
vorinostat_0.04uM_24h,vorinostat,0.04 uM,24 h,9,249,258,3,6,4,2,NPC
resveratrol_0.12uM_24h,resveratrol,0.12 uM,24 h,9,249,258,3,0,0,0,NPC
decitabine_0.12uM_24h,decitabine,0.12 uM,24 h,9,249,258,3,32,22,10,NPC
regorafenib_0.12uM_24h,regorafenib,0.12 uM,24 h,9,192,201,3,1,0,1,NPC
belinostat_0.12uM_24h,belinostat,0.12 uM,24 h,9,249,258,3,315,147,168,NPC
azacitidine_0.12uM_24h,azacitidine,0.12 uM,24 h,9,249,258,3,17,6,11,NPC
alectinib_0.12uM_24h,alectinib,0.12 uM,24 h,9,192,201,3,2,1,1,NPC
vorinostat_0.12uM_24h,vorinostat,0.12 uM,24 h,9,249,258,3,17,13,4,NPC
tranylcypromine_0.12uM_24h,tranylcypromine,0.12 uM,24 h,9,249,258,3,0,0,0,NPC
tranylcypromine_0.37uM_24h,tranylcypromine,0.37 uM,24 h,9,249,258,3,0,0,0,NPC
ponatinib_0.37uM_24h,ponatinib,0.37 uM,24 h,9,192,201,3,301,124,177,NPC
dabrafenib_0.37uM_24h,dabrafenib,0.37 uM,24 h,9,192,201,3,114,41,73,NPC
azacitidine_0.37uM_24h,azacitidine,0.37 uM,24 h,9,249,258,3,42,24,18,NPC
regorafenib_0.37uM_24h,regorafenib,0.37 uM,24 h,9,192,201,3,20,8,12,NPC
decitabine_0.37uM_24h,decitabine,0.37 uM,24 h,9,249,258,3,59,39,20,NPC
alectinib_0.37uM_24h,alectinib,0.37 uM,24 h,9,192,201,3,1,1,0,NPC
belinostat_0.37uM_24h,belinostat,0.37 uM,24 h,9,249,258,3,367,170,197,NPC
decitabine_1.11uM_24h,decitabine,1.11 uM,24 h,9,249,258,3,75,35,40,NPC
alectinib_1.11uM_24h,alectinib,1.11 uM,24 h,9,192,201,3,1,1,0,NPC
vorinostat_1.11uM_6h,vorinostat,1.11 uM,6 h,9,4,13,2,141,85,56,NPC
belinostat_1.11uM_24h,belinostat,1.11 uM,24 h,9,249,258,3,496,265,231,NPC
tranylcypromine_1.11uM_24h,tranylcypromine,1.11 uM,24 h,9,249,258,3,2,1,1,NPC
regorafenib_1.11uM_24h,regorafenib,1.11 uM,24 h,9,192,201,3,38,13,25,NPC
ponatinib_1.11uM_24h,ponatinib,1.11 uM,24 h,9,192,201,3,308,131,177,NPC
azacitidine_1.11uM_24h,azacitidine,1.11 uM,24 h,9,249,258,3,48,32,16,NPC
dabrafenib_1.11uM_24h,dabrafenib,1.11 uM,24 h,9,192,201,3,110,54,56,NPC
belinostat_3.33uM_24h,belinostat,3.33 uM,24 h,9,249,258,3,580,297,283,NPC
ponatinib_3.33uM_24h,ponatinib,3.33 uM,24 h,9,192,201,3,546,209,337,NPC
dabrafenib_3.33uM_24h,dabrafenib,3.33 uM,24 h,9,192,201,3,158,75,83,NPC
tranylcypromine_3.33uM_24h,tranylcypromine,3.33 uM,24 h,9,249,258,3,2,2,0,NPC
decitabine_3.33uM_24h,decitabine,3.33 uM,24 h,9,249,258,3,91,67,24,NPC
regorafenib_3.33uM_24h,regorafenib,3.33 uM,24 h,9,192,201,3,47,18,29,NPC
azacitidine_3.33uM_24h,azacitidine,3.33 uM,24 h,9,249,258,3,94,39,55,NPC
alectinib_3.33uM_24h,alectinib,3.33 uM,24 h,9,192,201,3,5,2,3,NPC
methysergide_10uM_24h,methysergide,10 uM,24 h,8,50,58,2,49,17,32,NPC
paclitaxel_10uM_24h,paclitaxel,10 uM,24 h,8,50,58,2,326,115,211,NPC
clomifene_10uM_24h,clomifene,10 uM,24 h,8,50,58,2,3,0,3,NPC
cabergoline_10uM_24h,cabergoline,10 uM,24 h,8,45,53,2,1,1,0,NPC
digoxin_10uM_24h,digoxin,10 uM,24 h,8,25,33,1,648,265,383,NPC
bromocriptine_10uM_24h,bromocriptine,10 uM,24 h,8,45,53,2,34,15,19,NPC
aniracetam_10uM_24h,aniracetam,10 uM,24 h,8,49,57,3,21,6,15,NPC
glimepiride_10uM_24h,glimepiride,10 uM,24 h,8,50,58,2,8,1,7,NPC
nadolol_10uM_24h,nadolol,10 uM,24 h,8,50,58,2,4,1,3,NPC
clonidine_10uM_24h,clonidine,10 uM,24 h,8,56,64,3,0,0,0,NPC
mitoxantrone_10uM_24h,mitoxantrone,10 uM,24 h,8,183,191,5,781,284,497,NPC
cimetidine_10uM_24h,cimetidine,10 uM,24 h,8,50,58,2,48,22,26,NPC
vinpocetine_10uM_24h,vinpocetine,10 uM,24 h,8,25,33,1,0,0,0,NPC
pinacidil_10uM_24h,pinacidil,10 uM,24 h,8,45,53,2,8,2,6,NPC
flunarizine_10uM_24h,flunarizine,10 uM,24 h,8,45,53,2,295,104,191,NPC
quercetin_10uM_24h,quercetin,10 uM,24 h,8,56,64,3,60,17,43,NPC
flunisolide_10uM_24h,flunisolide,10 uM,24 h,8,50,58,2,17,1,16,NPC
ponatinib_0.04uM_24h,ponatinib,0.04 uM,24 h,8,171,179,3,267,117,150,NPC
ponatinib_0.12uM_24h,ponatinib,0.12 uM,24 h,8,171,179,3,153,66,87,NPC
dabrafenib_0.12uM_24h,dabrafenib,0.12 uM,24 h,8,170,178,3,52,30,22,NPC
naloxone_10uM_24h,naloxone,10 uM,24 h,7,33,40,2,0,0,0,NPC
etodolac_10uM_24h,etodolac,10 uM,24 h,7,37,44,2,0,0,0,NPC
ouabain_10uM_24h,ouabain,10 uM,24 h,7,42,49,3,631,284,347,NPC
potassium-canrenoate_10uM_24h,potassium-canrenoate,10 uM,24 h,7,28,35,2,1,1,0,NPC
idelalisib_10uM_24h,idelalisib,10 uM,24 h,7,151,158,3,37,18,19,NPC
tacrolimus_10uM_24h,tacrolimus,10 uM,24 h,7,42,49,2,201,72,129,NPC
estriol_10uM_24h,estriol,10 uM,24 h,7,33,40,2,32,11,21,NPC
carbenoxolone_10uM_24h,carbenoxolone,10 uM,24 h,7,33,40,2,10,4,6,NPC
vandetanib_10uM_24h,vandetanib,10 uM,24 h,7,151,158,3,730,297,433,NPC
betamethasone_10uM_24h,betamethasone,10 uM,24 h,7,33,40,2,0,0,0,NPC
medrysone_10uM_24h,medrysone,10 uM,24 h,7,33,40,2,2,0,2,NPC
noretynodrel_10uM_24h,noretynodrel,10 uM,24 h,7,28,35,2,197,75,122,NPC
finasteride_10uM_24h,finasteride,10 uM,24 h,7,33,40,2,1,1,0,NPC
rutin_10uM_24h,rutin,10 uM,24 h,7,33,40,2,1,0,1,NPC
ibrutinib_10uM_24h,ibrutinib,10 uM,24 h,7,151,158,3,151,65,86,NPC
biperiden_10uM_24h,biperiden,10 uM,24 h,7,25,32,1,5,1,4,NPC
tivozanib_10uM_24h,tivozanib,10 uM,24 h,7,151,158,3,434,172,262,NPC
dacomitinib_0.04uM_24h,dacomitinib,0.04 uM,24 h,7,151,158,3,4,1,3,NPC
ibrutinib_0.04uM_24h,ibrutinib,0.04 uM,24 h,7,151,158,3,3,1,2,NPC
masitinib_0.04uM_24h,masitinib,0.04 uM,24 h,7,151,158,3,2,2,0,NPC
everolimus_0.04uM_24h,everolimus,0.04 uM,24 h,7,151,158,3,358,137,221,NPC
idelalisib_0.04uM_24h,idelalisib,0.04 uM,24 h,7,151,158,3,22,11,11,NPC
sunitinib_0.04uM_24h,sunitinib,0.04 uM,24 h,7,151,158,3,33,12,21,NPC
pazopanib_0.04uM_24h,pazopanib,0.04 uM,24 h,7,151,158,3,0,0,0,NPC
cabozantinib_0.04uM_24h,cabozantinib,0.04 uM,24 h,7,151,158,3,95,14,81,NPC
tivozanib_0.04uM_24h,tivozanib,0.04 uM,24 h,7,151,158,3,17,10,7,NPC
bosutinib_0.04uM_24h,bosutinib,0.04 uM,24 h,7,151,158,3,375,136,239,NPC
everolimus_0.12uM_24h,everolimus,0.12 uM,24 h,7,151,158,3,202,94,108,NPC
vandetanib_0.12uM_24h,vandetanib,0.12 uM,24 h,7,151,158,3,6,3,3,NPC
sunitinib_0.12uM_24h,sunitinib,0.12 uM,24 h,7,151,158,3,58,17,41,NPC
dacomitinib_0.12uM_24h,dacomitinib,0.12 uM,24 h,7,151,158,3,3,2,1,NPC
bosutinib_0.12uM_24h,bosutinib,0.12 uM,24 h,7,151,158,3,122,64,58,NPC
idelalisib_0.12uM_24h,idelalisib,0.12 uM,24 h,7,151,158,3,21,9,12,NPC
ibrutinib_0.12uM_24h,ibrutinib,0.12 uM,24 h,7,151,158,3,14,8,6,NPC
cabozantinib_0.12uM_24h,cabozantinib,0.12 uM,24 h,7,151,158,3,7,5,2,NPC
tivozanib_0.12uM_24h,tivozanib,0.12 uM,24 h,7,151,158,3,1,1,0,NPC
pazopanib_0.12uM_24h,pazopanib,0.12 uM,24 h,7,151,158,3,18,7,11,NPC
tivozanib_0.37uM_24h,tivozanib,0.37 uM,24 h,7,151,158,3,3,1,2,NPC
idelalisib_0.37uM_24h,idelalisib,0.37 uM,24 h,7,151,158,3,33,21,12,NPC
masitinib_0.37uM_24h,masitinib,0.37 uM,24 h,7,151,158,3,0,0,0,NPC
ibrutinib_0.37uM_24h,ibrutinib,0.37 uM,24 h,7,151,158,3,15,2,13,NPC
cabozantinib_0.37uM_24h,cabozantinib,0.37 uM,24 h,7,151,158,3,6,1,5,NPC
dacomitinib_0.37uM_24h,dacomitinib,0.37 uM,24 h,7,151,158,3,5,2,3,NPC
bosutinib_0.37uM_24h,bosutinib,0.37 uM,24 h,7,151,158,3,179,72,107,NPC
everolimus_0.37uM_24h,everolimus,0.37 uM,24 h,7,151,158,3,172,68,104,NPC
sunitinib_0.37uM_24h,sunitinib,0.37 uM,24 h,7,151,158,3,25,22,3,NPC
pazopanib_0.37uM_24h,pazopanib,0.37 uM,24 h,7,151,158,3,11,3,8,NPC
sunitinib_1.11uM_24h,sunitinib,1.11 uM,24 h,7,151,158,3,68,36,32,NPC
pazopanib_1.11uM_24h,pazopanib,1.11 uM,24 h,7,151,158,3,61,25,36,NPC
cabozantinib_1.11uM_24h,cabozantinib,1.11 uM,24 h,7,151,158,3,8,4,4,NPC
idelalisib_1.11uM_24h,idelalisib,1.11 uM,24 h,7,151,158,3,243,111,132,NPC
vandetanib_1.11uM_24h,vandetanib,1.11 uM,24 h,7,151,158,3,4,2,2,NPC
everolimus_1.11uM_24h,everolimus,1.11 uM,24 h,7,151,158,3,155,60,95,NPC
bosutinib_1.11uM_24h,bosutinib,1.11 uM,24 h,7,151,158,3,169,72,97,NPC
ibrutinib_1.11uM_24h,ibrutinib,1.11 uM,24 h,7,151,158,3,16,6,10,NPC
dacomitinib_1.11uM_24h,dacomitinib,1.11 uM,24 h,7,151,158,3,2,1,1,NPC
masitinib_1.11uM_24h,masitinib,1.11 uM,24 h,7,151,158,3,14,6,8,NPC
tivozanib_1.11uM_24h,tivozanib,1.11 uM,24 h,7,151,158,3,15,4,11,NPC
vandetanib_3.33uM_24h,vandetanib,3.33 uM,24 h,7,151,158,3,28,17,11,NPC
pazopanib_3.33uM_24h,pazopanib,3.33 uM,24 h,7,151,158,3,34,13,21,NPC
idelalisib_3.33uM_24h,idelalisib,3.33 uM,24 h,7,151,158,3,8,5,3,NPC
ibrutinib_3.33uM_24h,ibrutinib,3.33 uM,24 h,7,151,158,3,64,10,54,NPC
everolimus_3.33uM_24h,everolimus,3.33 uM,24 h,7,151,158,3,216,85,131,NPC
dacomitinib_3.33uM_24h,dacomitinib,3.33 uM,24 h,7,151,158,3,49,28,21,NPC
cabozantinib_3.33uM_24h,cabozantinib,3.33 uM,24 h,7,151,158,3,12,4,8,NPC
sunitinib_3.33uM_24h,sunitinib,3.33 uM,24 h,7,151,158,3,125,52,73,NPC
tivozanib_3.33uM_24h,tivozanib,3.33 uM,24 h,7,151,158,3,47,16,31,NPC
bosutinib_3.33uM_24h,bosutinib,3.33 uM,24 h,7,151,158,3,302,120,182,NPC
masitinib_3.33uM_24h,masitinib,3.33 uM,24 h,7,151,158,3,6,1,5,NPC
icosapent_10uM_6h,icosapent,10 uM,6 h,6,30,36,2,93,20,73,NPC
temozolomide_10uM_24h,temozolomide,10 uM,24 h,6,54,60,2,10,0,10,NPC
fluspirilene_10uM_6h,fluspirilene,10 uM,6 h,6,30,36,2,84,30,54,NPC
adapalene_10uM_6h,adapalene,10 uM,6 h,6,30,36,2,107,36,71,NPC
quercetin_10uM_6h,quercetin,10 uM,6 h,6,30,36,2,55,11,44,NPC
imiquimod_10uM_24h,imiquimod,10 uM,24 h,6,54,60,2,0,0,0,NPC
clonidine_10uM_6h,clonidine,10 uM,6 h,6,30,36,2,2,2,0,NPC
etoposide_10uM_6h,etoposide,10 uM,6 h,6,30,36,2,77,32,45,NPC
estrone_10uM_6h,estrone,10 uM,6 h,6,30,36,2,67,28,39,NPC
tolazamide_10uM_6h,tolazamide,10 uM,6 h,6,30,36,2,1,0,1,NPC
lapatinib_10uM_24h,lapatinib,10 uM,24 h,6,26,32,2,0,0,0,NPC
